policy_number,effective_date,expiration_date,state,county,zip,occupancy,construction,foundation,roof_type,roof_condition,year_built,stories,square_feet,protection_class,alarm_type,flood_zone,distance_to_coast_mi,wildfire_score_0_100,hail_score_0_100,hurricane_score_0_100,crime_index_0_100,prior_claims_5yr,covA_dwelling,covB_other_structures,covC_personal_property,covD_loss_of_use,deductible_all_peril,water_backup_limit,ordinance_or_law_pct,written_premium_total,premium_fire,premium_wind,premium_hail,premium_water,premium_theft_liability,expected_loss,expected_loss_ratio,expense_ratio,target_profit_ratio,indicated_premium,uw_tier
HO2026000416,2024-01-18,2025-01-12,TX,Union,72734,SecondarySeasonal,Masonry,Basement,WoodShake,Poor,1951,1,2574,5,Fire,X,4.0,36,62,0,40,0,445000,39000,291000,73000,2500,10000,10,4519.21,1727.41,994.23,918.91,542.31,336.36,2298.44,0.509,0.325,0.079,3858.32,Preferred
HO2026000417,2021-05-10,2022-05-05,PA,Cleveland,82612,TenantOccupied,Frame,Crawlspace,Metal,New,1948,2,3545,4,None,AE,19.0,0,23,0,38,0,568000,84000,270000,88000,1000,10000,25,2936.56,1352.62,646.04,406.22,587.31,0.0,1249.03,0.425,0.31,0.062,1990.92,Preferred
HO2026000418,2021-07-28,2022-07-23,TN,Monroe,18676,TenantOccupied,Superior,Slab,Metal,Good,2011,1,1941,7,Burglar,VE,10.4,35,28,20,47,0,526000,51000,323000,97000,2500,10000,25,2068.39,840.43,558.46,303.36,413.68,0.0,1067.06,0.516,0.271,0.077,1637.13,Preferred
HO2026000419,2025-08-11,2026-08-06,NC,Clay,36799,SecondarySeasonal,Frame,Piers,Metal,Poor,2025,1,1201,9,None,X,4.9,16,25,35,74,1,168000,21000,118000,29000,1000,0,25,1406.41,560.08,432.47,199.24,168.77,45.85,780.58,0.555,0.295,0.114,1319.62,Standard
HO2026000420,2023-07-08,2024-07-02,OH,Grant,73929,Vacant,Masonry,Slab,FlatMembrane,New,1949,1,2067,5,Fire,VE,22.2,12,54,22,26,0,313000,30000,196000,48000,2000,10000,10,1372.0,488.08,377.3,260.68,274.4,0.0,839.2,0.612,0.387,0.047,1480.63,Standard
HO2026000421,2023-10-13,2024-10-07,NY,Wayne,43372,Vacant,Frame,Crawlspace,AsphaltShingle,New,1994,2,2879,1,BurglarAndFire,AE,12.4,28,42,43,52,0,591000,73000,427000,146000,1000,10000,10,2870.09,1167.45,939.95,487.92,574.02,0.0,1966.12,0.685,0.271,0.074,3003.01,Standard
HO2026000422,2023-08-14,2024-08-08,TN,Monroe,26154,SecondarySeasonal,Masonry,Piers,WoodShake,Fair,2012,2,2448,7,Fire,X,59.1,36,49,17,51,0,599000,53000,299000,136000,1000,0,25,1902.2,990.47,499.33,345.57,228.26,0.0,1111.43,0.584,0.239,0.038,1535.88,Preferred
HO2026000423,2024-10-14,2025-10-09,PA,Jefferson,12191,SecondarySeasonal,Superior,Slab,WoodShake,,1961,2,2278,10,BurglarAndFire,VE,29.0,34,18,12,23,0,523000,44000,347000,122000,2000,0,10,2377.33,1032.96,594.33,309.05,475.47,0.0,1592.88,0.67,0.293,0.036,2373.23,Preferred
HO2026000424,2021-01-26,2022-01-21,MA,Marion,75249,OwnerOccupied,Frame,Crawlspace,Tile,New,1999,1,3970,4,Burglar,AE,3.9,49,65,0,42,0,648000,90000,310000,120000,5000,25000,10,2049.81,760.56,450.96,427.04,409.96,1.29,1217.32,0.594,0.4,0.094,2407.46,Preferred
HO2026000425,2024-06-24,2025-06-19,CA,Cleveland,76811,SecondarySeasonal,Superior,Slab,Metal,Fair,1964,1,2132,1,Burglar,X,127.0,63,25,47,19,0,529000,60000,362000,101000,2500,0,10,3154.33,1487.14,1064.58,446.86,378.52,0.0,1679.35,0.532,0.31,0.097,2833.65,Preferred
HO2026000426,2024-05-15,2025-05-10,NC,Madison,75864,TenantOccupied,Superior,Crawlspace,AsphaltShingle,Poor,1984,1,1955,6,None,AE,5.6,11,34,64,53,0,443000,43000,304000,92000,1000,0,10,3523.52,1796.48,1338.94,552.02,704.7,0.0,2253.61,0.64,0.266,0.091,3505.46,Standard
HO2026000427,2023-03-05,2024-02-28,CO,Madison,44156,OwnerOccupied,MobileHome,Piers,Tile,New,1997,1,2051,1,BurglarAndFire,VE,27.8,40,80,11,51,0,236000,22000,89000,61000,2500,0,25,810.62,376.26,200.63,178.34,162.12,0.0,483.24,0.596,0.326,0.044,766.87,Standard
HO2026000428,2024-07-05,2025-06-30,CO,Monroe,16061,Vacant,MobileHome,Crawlspace,Metal,Fair,1990,1,2243,5,BurglarAndFire,AE,22.3,100,34,0,34,0,303000,33000,179000,90000,1000,0,10,2309.14,850.73,508.01,361.76,461.83,126.8,1182.71,0.512,0.337,0.08,2028.47,Standard
HO2026000429,2021-03-01,2022-02-24,MI,Madison,44496,TenantOccupied,Frame,Basement,Metal,New,1940,2,1986,2,BurglarAndFire,AE,6.6,70,26,44,39,0,264000,22000,196000,78000,2000,0,10,1324.05,484.12,436.94,189.78,264.81,0.0,768.22,0.58,0.235,0.058,1085.51,Standard
HO2026000430,2025-11-17,2026-11-12,NY,Grant,35357,Vacant,Masonry,Crawlspace,AsphaltShingle,Poor,1990,3,2740,4,BurglarAndFire,AE,,23,45,24,77,0,511000,68000,347000,81000,2500,0,25,2559.23,1383.82,716.58,447.87,511.85,0.0,2038.45,0.797,0.255,0.074,3038.73,NonStandard
HO2026000431,2026-02-11,2027-02-06,SC,Madison,15807,TenantOccupied,MobileHome,Crawlspace,Tile,Good,2005,1,1793,7,BurglarAndFire,AE,413.2,39,32,0,21,0,212000,19000,140000,43000,1000,10000,10,1108.04,466.01,243.77,169.9,221.61,6.75,578.57,0.522,0.214,0.048,784.63,Preferred
HO2026000432,2024-05-20,2025-05-15,CA,Greene,12359,Vacant,Superior,Piers,WoodShake,Good,2020,2,1349,6,None,X,6.7,0,35,42,53,0,202000,25000,116000,34000,2500,0,10,1237.23,515.7,402.1,195.9,148.47,0.0,687.28,0.555,0.28,0.049,1023.97,Preferred
HO2026000433,2021-03-20,2022-03-15,NJ,Jackson,20663,OwnerOccupied,Superior,Crawlspace,Metal,Fair,2018,2,1980,5,None,VE,2.2,46,32,7,44,0,503000,71000,182000,77000,1000,0,10,2049.31,779.99,486.71,314.23,409.86,58.52,1738.66,0.848,0.3,0.059,2713.11,Preferred
HO2026000434,2022-09-19,2023-09-14,VA,Greene,47827,SecondarySeasonal,Masonry,Slab,AsphaltShingle,New,1991,1,1972,3,Fire,VE,30.1,21,27,39,73,0,471000,40000,306000,90000,10000,10000,10,1285.81,540.17,408.24,186.44,257.16,0.0,712.3,0.554,0.275,0.068,1084.86,Preferred
HO2026000435,2024-06-04,2025-05-30,WA,Cleveland,19935,Vacant,Masonry,Slab,WoodShake,Poor,1956,2,1514,5,None,AE,1.1,0,33,35,42,0,225000,26000,128000,56000,2500,0,10,2301.73,886.27,707.78,356.77,460.35,0.0,1298.76,0.564,0.18,0.027,1638.58,Standard
HO2026000436,2025-06-10,2026-06-05,AZ,Washington,66963,Vacant,MobileHome,Slab,AsphaltShingle,Poor,2022,1,2243,4,Fire,X,18.1,78,45,0,52,1,275000,36000,97000,58000,1000,0,25,2369.38,881.43,521.26,414.64,284.33,267.71,1228.24,0.518,0.337,0.056,2023.49,NonStandard
HO2026000437,2023-04-23,2024-04-17,WA,Lincoln,69214,SecondarySeasonal,MobileHome,Basement,WoodShake,Poor,1985,3,2122,6,BurglarAndFire,X,32.5,57,33,3,28,0,213000,17000,159000,39000,10000,10000,50,1402.42,593.96,319.05,217.38,168.29,103.75,635.83,0.453,0.262,0.064,942.68,Preferred
HO2026000438,2024-07-12,2025-07-07,FL,Cleveland,33431,SecondarySeasonal,Frame,Basement,AsphaltShingle,New,1967,1,2794,3,Fire,VE,35.5,35,52,9,47,0,529000,71000,222000,102000,5000,0,10,3302.44,1302.23,800.84,616.46,660.49,0.0,2063.27,0.625,0.243,0.062,2969.22,Preferred
HO2026000439,2025-05-23,2026-05-18,CA,Union,12145,Vacant,Frame,Piers,FlatMembrane,New,1949,1,1177,7,None,VE,136.8,0,25,13,78,0,252000,22000,173000,69000,5000,25000,10,2187.58,810.03,552.36,309.91,437.52,77.76,1150.64,0.526,0.355,0.055,1949.45,Standard
HO2026000440,2021-12-09,2022-12-04,MA,Jackson,88228,Vacant,Masonry,Basement,Metal,Fair,1942,1,2478,7,Fire,X,15.3,28,73,16,27,0,383000,55000,273000,69000,2500,0,10,2647.46,1018.09,688.34,582.44,317.7,40.89,2085.52,0.788,0.228,0.054,2903.32,Standard
HO2026000441,2024-01-31,2025-01-25,AZ,Cleveland,44707,TenantOccupied,Masonry,Slab,AsphaltShingle,New,1980,1,1603,3,None,AE,,75,46,38,53,0,342000,39000,143000,82000,1000,25000,10,1413.06,590.09,445.11,249.64,282.61,0.0,905.77,0.641,0.18,0.056,1184.96,Standard
HO2026000442,2022-05-05,2023-04-30,SC,Union,58114,OwnerOccupied,Masonry,Piers,Metal,Poor,1977,1,2964,10,Burglar,X,,0,34,72,47,0,330000,37000,159000,64000,1000,5000,10,2704.53,1235.74,1081.81,423.71,324.54,0.0,1902.85,0.704,0.284,0.082,3002.25,Standard
HO2026000443,2025-06-08,2026-06-03,FL,Marion,45481,OwnerOccupied,Masonry,Basement,Metal,Fair,1962,2,3007,5,Burglar,X,73.0,19,40,72,54,0,440000,57000,179000,82000,2500,0,10,3685.56,1391.98,1474.22,614.26,442.27,0.0,2538.27,0.689,0.269,0.064,3806.4,Preferred
HO2026000444,2022-07-11,2023-07-06,CA,Monroe,40613,Vacant,Frame,Crawlspace,AsphaltShingle,Good,1993,1,2285,8,BurglarAndFire,VE,25.1,83,39,9,46,0,451000,39000,285000,123000,1000,0,25,4695.63,1969.64,1138.69,774.78,939.13,0.0,2884.24,0.614,0.245,0.035,4010.3,Standard
HO2026000445,2024-07-08,2025-07-03,OH,Grant,18693,Vacant,MobileHome,Piers,AsphaltShingle,Good,1948,2,3704,3,BurglarAndFire,AE,18.7,37,68,33,60,0,332000,40000,220000,53000,1000,25000,10,2422.04,798.42,732.67,516.7,484.41,0.0,1929.43,0.797,0.317,0.053,3064.38,NonStandard
HO2026000446,2025-04-02,2026-03-28,CA,Madison,47004,Vacant,Frame,Piers,Metal,Poor,2019,1,2420,2,Burglar,VE,32.3,47,30,35,48,0,320000,44000,203000,49000,1000,10000,10,1942.18,736.4,597.22,291.33,388.44,0.0,1314.81,0.677,0.298,0.039,1982.11,NonStandard
HO2026000447,2024-06-14,2025-06-09,LA,Madison,97216,Vacant,Superior,Crawlspace,Metal,Poor,1980,2,2414,6,BurglarAndFire,AE,2.1,81,61,31,37,0,523000,43000,320000,128000,1000,0,50,4226.65,1412.11,1257.43,852.37,845.33,0.0,2034.57,0.481,0.302,0.058,3181.17,NonStandard
HO2026000448,2021-12-01,2022-11-26,NY,Union,33454,OwnerOccupied,Superior,Piers,Metal,New,1947,3,2076,9,None,VE,10.2,19,77,29,29,0,390000,47000,222000,104000,10000,0,10,1692.16,771.25,494.96,372.28,338.43,0.0,1045.8,0.618,0.221,0.058,1451.92,Standard
HO2026000449,2021-03-23,2022-03-18,GA,Benton,74003,OwnerOccupied,Frame,Piers,AsphaltShingle,Poor,1948,1,1706,6,BurglarAndFire,VE,5.3,63,71,0,27,1,295000,27000,148000,59000,1000,10000,10,2970.38,1315.74,653.48,648.53,594.08,0.0,1401.31,0.472,0.217,0.06,1938.41,Standard
HO2026000450,2022-05-11,2023-05-06,LA,Jackson,37501,Vacant,MobileHome,Piers,WoodShake,,1945,1,2339,4,None,AE,39.6,35,53,46,65,0,288000,37000,138000,50000,5000,0,10,4963.44,2451.9,1662.75,934.78,992.69,0.0,1935.81,0.39,0.32,0.081,3232.1,NonStandard
HO2026000451,2022-12-20,2023-12-15,TX,Marion,85011,Vacant,MobileHome,Crawlspace,Tile,Fair,2024,1,2587,3,BurglarAndFire,X,6.1,37,5,5,18,0,311000,38000,140000,75000,1000,0,10,1838.04,626.86,427.34,199.12,220.56,364.15,994.93,0.541,0.299,0.059,1549.2,Preferred
HO2026000452,2021-02-06,2022-02-01,NC,Greene,69588,SecondarySeasonal,Superior,Piers,Tile,Fair,2015,2,3132,7,BurglarAndFire,AE,16.9,65,51,0,51,0,776000,93000,464000,177000,5000,0,10,3546.06,1534.16,780.13,656.02,709.21,0.0,2353.22,0.664,0.309,0.09,3913.52,Preferred
HO2026000453,2024-01-15,2024-07-13,TN,Greene,67267,TenantOccupied,Superior,Slab,FlatMembrane,Good,1977,2,2105,9,BurglarAndFire,AE,33.6,13,66,34,68,0,322000,34000,239000,83000,1000,0,10,1670.16,643.6,509.4,350.73,334.03,0.0,1061.56,0.636,0.271,0.031,1520.85,Standard
HO2026000454,2022-11-10,2023-05-09,GA,Grant,47101,TenantOccupied,Frame,Slab,AsphaltShingle,New,1943,1,1407,6,Burglar,AE,32.1,30,46,41,53,2,324000,27000,204000,82000,2500,0,10,3654.75,1640.62,1178.66,645.67,730.95,0.0,2332.75,0.638,0.331,0.064,3857.36,Standard
HO2026000455,2021-09-18,2022-09-13,VA,Clay,92171,Vacant,MobileHome,Basement,Metal,Poor,1971,1,2247,8,BurglarAndFire,VE,114.4,62,37,37,44,0,222000,27000,141000,53000,2500,0,25,1449.06,601.66,452.83,234.26,289.81,0.0,1195.41,0.825,0.307,0.05,1857.5,NonStandard
HO2026000456,2023-08-14,2024-08-08,CA,Union,90989,OwnerOccupied,Masonry,Crawlspace,FlatMembrane,New,1992,2,2308,3,Fire,AE,193.0,36,29,13,38,0,454000,47000,236000,129000,5000,0,50,2294.15,903.96,579.27,340.3,458.83,11.79,1430.48,0.624,0.325,0.021,2185.52,Preferred
HO2026000457,2022-07-10,2023-07-05,OH,Cleveland,60618,TenantOccupied,MobileHome,Crawlspace,WoodShake,,1973,1,2329,3,Burglar,AE,47.1,22,46,8,31,0,272000,28000,170000,67000,2000,25000,25,1580.72,687.02,379.37,279.26,316.14,0.0,618.69,0.391,0.206,0.048,829.9,Standard
HO2026000458,2025-05-12,2026-05-07,SC,Monroe,50130,Vacant,Superior,Slab,AsphaltShingle,Good,2000,1,1628,5,Fire,AE,3.4,51,57,100,47,0,418000,50000,226000,110000,2000,10000,50,2673.84,1253.62,1203.23,521.4,534.77,0.0,1237.44,0.463,0.255,0.051,1782.28,NonStandard
HO2026000459,2023-05-09,2024-05-03,PA,Lake,94931,Vacant,MobileHome,Crawlspace,Metal,Good,2004,1,1646,3,None,AE,14.7,45,58,1,34,0,259000,36000,140000,71000,10000,10000,25,1121.81,438.21,249.6,220.62,224.36,0.0,646.51,0.576,0.24,0.056,919.26,Standard
HO2026000460,2025-09-26,2026-09-21,LA,Lincoln,96373,TenantOccupied,Superior,Slab,Metal,New,2025,2,1917,5,Burglar,VE,10.5,40,33,0,69,0,310000,24000,177000,63000,5000,10000,10,1078.14,473.0,237.19,167.11,215.63,0.0,944.39,0.876,0.357,0.05,1591.3,Preferred
HO2026000461,2024-06-05,2025-05-31,OH,Marion,92078,SecondarySeasonal,MobileHome,Basement,WoodShake,Good,1965,1,2933,5,BurglarAndFire,VE,26.5,1,38,45,19,0,325000,31000,206000,67000,2000,10000,10,2162.21,783.23,718.94,353.16,432.44,0.0,970.81,0.449,0.211,0.087,1382.3,Preferred
HO2026000462,2022-03-16,2023-03-11,CA,Monroe,68113,SecondarySeasonal,Superior,Slab,Tile,Good,2025,2,1829,8,Burglar,VE,28.9,81,35,17,29,0,420000,42000,287000,122000,5000,5000,25,1903.88,628.25,499.77,301.45,380.78,93.64,689.03,0.362,0.343,0.062,1156.4,Standard
HO2026000463,2024-01-23,2025-01-17,OR,Union,99230,Vacant,Masonry,Basement,AsphaltShingle,Good,1976,1,2486,4,Fire,AE,19.8,80,61,0,51,0,458000,59000,221000,69000,1000,0,25,2725.43,1100.86,599.6,549.63,545.09,0.0,2179.75,0.8,0.319,0.071,3572.18,Standard
HO2026000464,2022-03-14,2023-03-09,PA,Jackson,86273,OwnerOccupied,Masonry,Basement,AsphaltShingle,Good,1982,1,2678,10,None,VE,34.6,19,34,12,33,1,430000,60000,154000,108000,1000,5000,10,1770.51,776.65,442.63,277.38,354.1,0.0,1263.84,0.714,0.317,0.071,2063.53,Preferred
HO2026000465,2023-09-25,2024-09-19,NJ,Grant,73151,TenantOccupied,MobileHome,Slab,AsphaltShingle,Fair,1955,2,1679,8,Burglar,X,16.8,44,36,34,31,0,195000,27000,96000,55000,2500,0,25,1799.26,963.5,548.77,287.88,215.91,0.0,979.98,0.545,0.354,0.02,1566.38,Preferred
HO2026000466,2023-08-11,2024-08-05,AZ,Marion,91038,Vacant,MobileHome,Basement,Metal,Fair,1987,1,980,4,BurglarAndFire,VE,20.7,11,21,31,57,0,120000,16000,64000,19000,2000,0,10,912.45,321.39,271.45,123.18,182.49,13.93,615.83,0.675,0.299,0.055,952.02,Standard
HO2026000467,2024-02-16,2024-08-14,LA,Cleveland,97574,SecondarySeasonal,Superior,Slab,WoodShake,Fair,2015,1,2248,9,Burglar,VE,15.6,36,27,61,45,0,374000,31000,164000,100000,5000,0,25,2935.54,1482.44,1093.49,425.65,587.11,0.0,2313.27,0.788,0.309,0.054,3631.15,Standard
HO2026000468,2024-09-13,2025-09-08,LA,Madison,85768,SecondarySeasonal,Frame,Crawlspace,Metal,New,1978,2,1249,3,Burglar,VE,55.9,46,9,0,47,0,228000,18000,84000,36000,5000,5000,10,1397.37,669.72,307.42,160.7,279.47,0.0,875.58,0.627,0.4,0.041,1566.88,Preferred
HO2026000469,2022-01-17,2023-01-12,WA,Franklin,43511,Vacant,Superior,Slab,FlatMembrane,Fair,1986,2,1731,8,Burglar,VE,94.6,65,37,41,58,0,358000,53000,183000,92000,2500,0,25,2454.8,1088.15,791.67,396.86,490.96,0.0,1750.15,0.713,0.223,0.037,2365.07,NonStandard
HO2026000470,2026-02-03,2027-01-29,IL,Lake,65905,OwnerOccupied,MobileHome,Slab,Tile,New,1988,2,2685,5,BurglarAndFire,X,39.7,48,61,45,55,0,348000,34000,251000,76000,1000,5000,25,1291.08,498.11,429.28,260.37,154.93,0.0,692.05,0.536,0.18,0.04,887.04,Standard
HO2026000471,2021-04-17,2021-10-14,OR,Lake,87623,Vacant,Masonry,Piers,WoodShake,New,2023,1,1136,4,Burglar,AE,18.3,35,51,37,39,0,304000,25000,110000,48000,1000,10000,25,1436.29,593.54,448.84,265.71,287.26,0.0,907.42,0.632,0.271,0.081,1401.03,Standard
HO2026000472,2021-11-07,2022-11-02,MI,Franklin,65415,OwnerOccupied,MobileHome,Slab,WoodShake,Poor,1950,1,2463,3,Fire,VE,25.0,33,46,24,49,0,333000,49000,192000,62000,5000,0,25,2050.02,1165.98,574.01,362.17,410.0,0.0,1458.73,0.712,0.224,0.064,2046.85,Standard
HO2026000473,2025-01-13,2026-01-08,MA,Clay,38131,Vacant,Superior,Piers,Tile,Fair,1985,1,1096,1,Burglar,X,17.0,19,4,23,46,0,254000,32000,131000,55000,5000,0,25,999.24,425.54,277.29,106.59,119.91,69.91,815.95,0.817,0.315,0.058,1301.55,Preferred
HO2026000474,2022-04-21,2023-04-16,FL,Madison,29243,OwnerOccupied,Frame,Piers,FlatMembrane,Fair,2013,2,2431,2,BurglarAndFire,VE,43.9,0,11,80,30,1,400000,57000,230000,84000,5000,0,10,2551.64,1007.9,1071.69,301.94,510.33,0.0,2027.2,0.794,0.374,0.089,3773.79,Standard
HO2026000475,2025-06-11,2026-06-06,NY,Grant,94242,Vacant,Masonry,Slab,WoodShake,Fair,2002,2,1583,7,None,VE,76.1,26,30,40,53,0,306000,36000,198000,55000,1000,0,10,1902.02,736.07,608.65,285.3,380.4,0.0,1157.45,0.609,0.251,0.068,1699.14,Standard
HO2026000476,2022-03-27,2023-03-22,SC,Jefferson,19277,SecondarySeasonal,Masonry,Piers,Tile,Good,2007,2,3343,1,Fire,VE,23.5,20,53,56,10,0,655000,75000,406000,114000,5000,0,25,2844.77,885.91,1024.12,535.76,568.95,0.0,853.43,0.3,0.231,0.066,1213.76,Preferred
HO2026000477,2022-05-23,2023-05-18,LA,Grant,18658,SecondarySeasonal,MobileHome,Crawlspace,Tile,Poor,2022,3,2416,6,BurglarAndFire,X,42.9,13,65,60,30,0,304000,36000,180000,73000,5000,0,50,2294.95,945.58,849.13,478.11,275.39,0.0,1682.13,0.733,0.306,0.037,2561.96,Standard
HO2026000478,2024-07-23,2025-07-18,CA,Grant,99832,SecondarySeasonal,MobileHome,Crawlspace,Tile,Poor,2024,1,2226,8,BurglarAndFire,VE,7.2,26,27,13,34,0,325000,38000,179000,50000,2500,5000,10,2123.28,861.09,536.13,307.88,424.66,0.0,1269.48,0.598,0.289,0.038,1887.59,Standard
HO2026000479,2022-04-01,2023-03-27,TX,Wayne,92390,Vacant,MobileHome,Slab,AsphaltShingle,New,1959,1,4027,4,BurglarAndFire,VE,44.0,17,67,26,32,0,483000,41000,189000,92000,5000,5000,10,3983.79,1519.63,1135.38,843.24,796.76,0.0,2234.96,0.561,0.357,0.056,3805.26,Standard
HO2026000480,2025-06-10,2026-06-05,MI,Lincoln,57034,SecondarySeasonal,Superior,Crawlspace,Tile,Poor,1988,2,2371,7,BurglarAndFire,VE,72.5,31,62,12,49,0,368000,35000,207000,95000,10000,5000,50,1077.75,358.33,269.44,219.14,215.55,15.29,743.66,0.69,0.299,0.081,1200.75,Standard
HO2026000481,2025-04-11,2026-04-06,CA,Washington,49259,Vacant,Superior,Piers,AsphaltShingle,,1943,2,1279,5,,VE,30.7,54,16,23,63,0,245000,30000,158000,57000,1000,0,10,1653.22,681.08,458.77,209.41,330.64,0.0,1086.65,0.657,0.235,0.099,1631.51,Standard
HO2026000482,2023-05-27,2024-05-21,MI,Greene,74851,Vacant,Masonry,Crawlspace,Metal,Fair,1980,2,2052,4,Fire,AE,17.3,84,33,28,57,1,362000,41000,134000,99000,1000,10000,10,1883.98,712.0,546.35,292.02,376.8,0.0,1234.83,0.655,0.274,0.088,1935.73,NonStandard
HO2026000483,2025-06-22,2026-06-17,MI,Grant,64148,OwnerOccupied,MobileHome,Piers,AsphaltShingle,New,2002,1,2094,9,Burglar,VE,56.3,47,34,9,43,0,292000,27000,199000,64000,2000,0,25,1226.21,599.66,297.36,192.11,245.24,0.0,819.0,0.668,0.33,0.075,1377.82,Standard
HO2026000484,2021-09-29,2022-09-24,WA,Jefferson,55653,Vacant,Superior,Piers,FlatMembrane,Poor,1959,2,3783,4,Fire,X,9.8,0,87,0,41,0,854000,112000,480000,142000,5000,0,50,4334.97,1797.22,953.69,953.69,520.2,110.17,3284.53,0.758,0.238,0.032,4499.55,Standard
HO2026000485,2023-04-28,2024-04-22,MA,Lake,51041,Vacant,Masonry,Basement,Metal,Poor,1956,1,3301,10,BurglarAndFire,AE,23.7,42,52,18,44,0,603000,87000,404000,115000,5000,10000,10,4153.16,1493.71,1100.59,775.26,830.63,0.0,3136.82,0.755,0.287,0.048,4721.8,NonStandard
HO2026000486,2024-04-17,2024-10-14,IL,Marion,35478,TenantOccupied,MobileHome,Basement,FlatMembrane,Fair,1989,2,1530,6,BurglarAndFire,X,30.6,30,48,34,46,0,208000,29000,146000,46000,2000,5000,25,1086.23,527.64,331.3,195.52,130.35,0.0,402.95,0.371,0.347,0.07,691.33,Preferred
HO2026000487,2024-05-16,2025-05-11,MA,Monroe,88578,TenantOccupied,Frame,Crawlspace,WoodShake,Poor,1962,2,2128,1,BurglarAndFire,AE,14.0,2,52,1,45,0,315000,35000,205000,91000,2000,10000,10,1874.07,947.39,416.98,349.83,374.81,0.0,1114.97,0.595,0.297,0.084,1803.13,Preferred
HO2026000488,2026-02-14,2027-02-09,TX,Grant,23672,OwnerOccupied,Frame,Crawlspace,Metal,Good,1992,1,1791,5,BurglarAndFire,X,6.6,63,71,26,30,0,429000,47000,192000,73000,2000,0,10,1927.89,840.71,549.45,420.92,231.35,0.0,816.37,0.423,0.231,0.08,1184.56,Preferred
HO2026000489,2022-12-25,2023-12-20,CO,Jefferson,86137,SecondarySeasonal,Superior,Slab,Tile,Fair,1975,2,2082,9,BurglarAndFire,VE,46.1,34,75,24,57,0,623000,54000,408000,94000,5000,10000,10,3795.43,1897.19,1062.72,834.99,759.09,0.0,3412.0,0.899,0.341,0.047,5570.41,Standard
HO2026000490,2021-01-08,2022-01-03,FL,Franklin,70471,TenantOccupied,Superior,Piers,WoodShake,New,1972,1,2354,5,None,VE,6.7,75,41,21,73,0,515000,44000,266000,126000,1000,10000,10,3410.36,1358.07,929.32,574.08,682.07,0.0,2085.69,0.612,0.339,0.073,3544.76,Standard
HO2026000491,2025-11-07,2026-11-02,AZ,Clay,75387,OwnerOccupied,Frame,Basement,WoodShake,Poor,1942,1,1884,2,Fire,VE,136.4,23,30,8,42,0,324000,30000,186000,93000,2500,0,10,2159.48,922.37,518.28,323.92,431.9,0.0,986.02,0.457,0.291,0.044,1483.19,Preferred
HO2026000492,2025-02-20,2026-02-15,NJ,Cleveland,87526,SecondarySeasonal,Masonry,Basement,AsphaltShingle,New,2023,1,2951,2,BurglarAndFire,X,91.4,15,50,10,23,0,580000,60000,388000,170000,2500,10000,10,1235.67,496.91,302.74,226.54,148.28,61.2,634.94,0.514,0.316,0.062,1020.69,Preferred
HO2026000493,2025-08-28,2026-08-23,MI,Union,49194,OwnerOccupied,MobileHome,Basement,WoodShake,New,1969,2,1475,3,Fire,VE,21.5,9,71,1,50,0,220000,30000,107000,36000,1000,0,25,1223.78,531.94,272.29,267.19,244.76,0.0,834.11,0.682,0.239,0.057,1184.37,Preferred
HO2026000494,2023-03-22,2024-03-16,SC,Jefferson,18425,OwnerOccupied,MobileHome,Crawlspace,FlatMembrane,,2000,1,896,7,BurglarAndFire,VE,8.5,15,67,39,19,0,123000,14000,86000,27000,1000,5000,50,1006.61,488.41,319.6,213.07,201.32,0.0,654.0,0.65,0.304,0.065,1036.16,Standard
HO2026000495,2025-02-04,2026-01-30,SC,Lake,43008,SecondarySeasonal,Superior,Crawlspace,AsphaltShingle,Poor,2010,2,2983,9,None,VE,13.8,28,11,68,48,0,729000,108000,414000,128000,2000,0,25,6085.08,1916.83,2373.18,720.07,1217.02,0.0,4758.11,0.782,0.281,0.038,6984.98,Standard
HO2026000496,2025-10-14,2026-10-09,AZ,Madison,86476,Vacant,Frame,Crawlspace,Metal,Fair,1967,2,3307,3,None,VE,3.9,25,79,16,41,0,654000,78000,479000,167000,2500,0,50,4230.47,1880.42,1099.92,930.7,846.09,0.0,2033.22,0.481,0.37,0.071,3636.69,Standard
HO2026000497,2024-03-15,2025-03-10,AZ,Cleveland,60445,Vacant,Superior,Crawlspace,AsphaltShingle,,1975,1,3072,9,Fire,X,13.5,56,24,31,37,0,690000,93000,377000,162000,5000,0,10,3820.19,1484.62,1136.51,534.83,458.42,205.81,2113.24,0.553,0.227,0.052,2929.34,Standard
HO2026000498,2024-08-06,2025-08-01,NJ,Madison,44355,OwnerOccupied,Frame,Crawlspace,AsphaltShingle,Good,2021,1,3858,10,Burglar,VE,6.9,56,38,15,35,0,610000,57000,359000,164000,1000,0,25,2831.81,942.77,729.19,462.53,566.36,130.96,2029.64,0.717,0.304,0.052,3152.48,Standard
HO2026000499,2025-12-13,2026-12-08,TN,Lincoln,43368,OwnerOccupied,Superior,Basement,Metal,Poor,2008,1,3143,5,None,X,,61,26,8,35,0,812000,67000,550000,148000,1000,10000,10,2338.54,1134.34,561.25,335.19,280.63,27.14,1409.26,0.603,0.4,0.037,2501.02,Preferred
